Database,Schema,Table,Matched,File
dw_dxc_dev,elivant,era_routing_record_audit,tin,DTT-ANA-PRD/dw_dxc_dev.sql
dw_dxc,dbo,direct_logo_provider_statements,provider,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,era_routing_record_audit,tin,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,provider_rules_details_vw,provider,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,VIP_Provider_Detail_Info,Provider,DTT-ANA-PRD/dw_dxc.sql
dw_dxc_pre,dbo,era_routing_record_audit,tin,DTT-ANA-PRD/dw_dxc_pre.sql
ext_raw_pc,dbo,_airbyte_raw_UserMerchantSettingOverrides,tin,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,_airbyte_raw_UserMerchantSettings,tin,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,usermerchantsettingoverrides,tin,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,usermerchantsettings,tin,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_ec,dbo,_airbyte_raw_AppointmentInsuranceMapping,tIn,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,_airbyte_raw_AppointmentProviderMapping,Provider,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,_airbyte_raw_GroupSetting,tin,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,_airbyte_raw_Member,Member,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,_airbyte_raw_MemberAlias,Member,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,_airbyte_raw_Provider,Provider,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,appointmentinsurancemapping,tin,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,appointmentprovidermapping,provider,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,groupsetting,tin,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,Member,Member,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,memberalias,member,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,provider,provider,DTT-ANA-PRD/ext_raw_ec.sql
master,bnd,DCIClaimAGGClaimsStatusSnapshot,sSn,DTT-ANA-PRD/ent.sql
master,dbo,DCIClaimAGGClaimsStatusSnapshot,sSn,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETMinReqdProviderProfileAnswers,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETMinReqdProviderProfileAnswers,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETProviderProfiles,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETProviderProfiles,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETUnpivotedUserAnswers,Provider,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETUnpivotedUserAnswers,npi,DTT-ANA-PRD/ent.sql
master,temp,DCA051021Meeting,tin,DTT-ANA-PRD/ent.sql
dw,dbo,Finance_Reporting_QA,tin,DTT-TRX-PRD/dw.sql
nsDev,dbo,assemblyItemItemAccountingBookDetail,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,assemblyItemMember,Member,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CostingMethodType,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMLIST_ESC_RATINGS,TIN,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMRECORD_BDW_FORM_PRINTING_TYPE,TIN,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMRECORD_SUBNAV_SETTINGS,TIN,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,downloadItemItemAccountingBookDetail,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,inventoryItemItemAccountingBookDetail,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,itemAccountingBookDetail,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,itemGroupMember,Member,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,itemMember,Member,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,ItemSegmentIncludingSyntheticInclsynthitem,tIn,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,JobRequisitionPostingType,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,kitItemItemAccountingBookDetail,tin,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,kitItemMember,Member,DTT-TRX-PRD/nsDev.sql
