Database,Schema,Table,Matched,File
dw_dxc_dev,bwyllie,smilebrands_claim_status_report__dbt_tmp,first_service_started_at,DTT-ANA-PRD/dw_dxc_dev.sql
dw_dxc_dev,bwyllie,smilebrands_claim_status_report__dbt_tmp,last_service_started_at,DTT-ANA-PRD/dw_dxc_dev.sql
rpt,dbo,SSISGrandfatheredReportsMap,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISGrandfatheredReportsMap,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReports,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReports,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReports,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmails,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmails,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmails,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISReportClientTypes,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISReportClientTypes,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISReportClientTypes,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributions,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributions,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsAudit,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsAudit,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsAudit,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmailsAudit,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmailsAudit,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmailsAudit,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributionsAudit,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributionsAudit,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFeatureNames,CreateSupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFeatureNames,ModifySupportUserID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFeatureNames,ActiveModifySupportUserID,DTT-ANA-PRD/rpt.sql
dw_dxc,dbo,DssCommissionEarnedPointsDetail_aud,SupportUserID,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssCommissionEarnedPointsDetail_aud,SupportedPMS,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssCommissionEarnedPointsDetail_aud,NotSupportedPMS,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssSalesCommission_aud,SupportUserID,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssSalesCommissionDetail_aud,SupportUserID,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssSalesCommissionDetail_aud,SupportedPMS,DTT-ANA-PRD/dw_dxc.sql
dw_dxc,dbo,DssSalesCommissionDetail_aud,NotSupportedPMS,DTT-ANA-PRD/dw_dxc.sql
