"bwyllie,dw_dxc_dev,smilebrands_claim_status_report__dbt_tmp"
"dbo,bdd,ClaimConnectClaimDeliveryFacts"
"dbo,bireports,AccountRevenueDetail"
"dbo,bireports,IdleAccount"
"dbo,chs,ClaimPayment"
"dbo,chs,ClaimPaymentClaim"
"dbo,chs,ClaimPaymentClaimItem"
"dbo,chs,ClaimPaymentRegistration"
"dbo,chs,ClaimPaymentRegistrationHistory"
"dbo,chs,ClaimStatusTracing_Contractors"
"dbo,chs,DBA"
"dbo,chs,MetaClaim"
"dbo,chs,MetaFileNote"
"dbo,chs,PartnerMessageRoutingExclude"
"dbo,chs,PartnerMessageRoutingExcludeAudit"
"dbo,chs,PartnerPartnerCodeBillingConfig"
"dbo,chs,PartnerStatementItemAdjustment"
"dbo,chs,PartnerStatementItemAdjustmentAudit"
"dbo,chs,PartnerTranSubTypePayerNameTranslation"
"dbo,chs,PartnerTranSubTypePayerNameTranslationAudit"
"dbo,chs,RTServiceAudit"
"dbo,chs,ServiceProperty"
"dbo,chs,ServicePropertyAudit"
"dbo,common,AlertSAServiceAudit"
"dbo,common,BenefitSearchUpgrade_Aetna06062024"
"dbo,common,ClientRevenueDetail"
"dbo,common,CommissionStatement"
"dbo,common,ContactUs"
"dbo,common,ContactUsNote"
"dbo,common,DebugAlert"
"dbo,common,DmdFileUploadImage"
"dbo,common,DmdFileUploadImageAudit"
"dbo,common,DmdPmsGroup"
"dbo,common,ERARegistration"
"dbo,common,ERARegistrationAudit"
"dbo,common,ERARoutingSummary"
"dbo,common,Entity"
"dbo,common,EntityAudit"
"dbo,common,EntityDescriptor"
"dbo,common,EntityGroup"
"dbo,common,EntityGroupAudit"
"dbo,common,GroupCommission"
"dbo,common,GroupMerchant"
"dbo,common,GroupPayer"
"dbo,common,GroupPayerAudit"
"dbo,common,GroupSupportUser"
"dbo,common,GroupUserSecurity"
"dbo,common,GroupUserSecurityAudit"
"dbo,common,Groups"
"dbo,common,GroupsAudit"
"dbo,common,GroupsUsers"
"dbo,common,GroupsUsersAudit"
"dbo,common,Groups_Test"
"dbo,common,MerchantApplication"
"dbo,common,MerchantMigration"
"dbo,common,MerchantMigrationLink"
"dbo,common,MerchantMigrationSchedule"
"dbo,common,MerchantMigrationServiceAudit"
"dbo,common,MerchantServiceAudit_Arc"
"dbo,common,MessagePortalConversationAudit"
"dbo,common,MessagePortalConversationModelAudit"
"dbo,common,MessagePortalMessage"
"dbo,common,MessagePortalParticipants"
"dbo,common,NotificationMessage"
"dbo,common,NppesDocumentMeta"
"dbo,common,Packages_added"
"dbo,common,Packages_deleted"
"dbo,common,PartnerSecurity"
"dbo,common,PartnerSecurityAccess"
"dbo,common,PartnerSecurityTokenConfig"
"dbo,common,Payer"
"dbo,common,PayerAddress"
"dbo,common,PayerAddressAudit"
"dbo,common,PayerAudit"
"dbo,common,PayerDocType"
"dbo,common,PayerEnrollment"
"dbo,common,PayerMatchGroup"
"dbo,common,PayerMatchGroupAudit"
"dbo,common,PayerMatchStandardAddress"
"dbo,common,PayerMatchStandardAddressAudit"
"dbo,common,PayerMemberEnrollment"
"dbo,common,Pms"
"dbo,common,PmsGroup"
"dbo,common,PmsGroupAudit"
"dbo,common,PricingPolicy"
"dbo,common,ProductGroupPackage"
"dbo,common,ProductGroupPackage10062024_DB2225"
"dbo,common,ProductPackageSetOverride"
"dbo,common,ProductPartnerPackage"
"dbo,common,ProviderDirectory"
"dbo,common,ProviderDirectoryAppsetNoteAlert"
"dbo,common,ProviderDirectoryHistory"
"dbo,common,ProviderDirectoryPayerDocument"
"dbo,common,ProviderDirectoryPayerNoteHistory"
"dbo,common,ProviderPayerEnrollment"
"dbo,common,ProviderPayerEnrollmentAudit"
"dbo,common,RTServiceAudit"
"dbo,common,RecurringBills"
"dbo,common,ReleaseGroup"
"dbo,common,ReleaseGroupAudit"
"dbo,common,ReleaseGroupType"
"dbo,common,ReleaseGroupTypeAudit"
"dbo,common,Reseller"
"dbo,common,ResellerAudit"
"dbo,common,Roles"
"dbo,common,SalesLeadNote"
"dbo,common,SalesUserAccessAssignment"
"dbo,common,ScheduledEvent"
"dbo,common,ServiceClient"
"dbo,common,ServiceClientAccess"
"dbo,common,ServiceClientPMS"
"dbo,common,ServiceClientUser"
"dbo,common,ServiceCode"
"dbo,common,ServiceDowntime"
"dbo,common,ServiceFee"
"dbo,common,ServiceHostConfiguration"
"dbo,common,ServiceProperty"
"dbo,common,ServicePropertyAudit"
"dbo,common,ServiceServiceCode"
"dbo,common,ServiceStatus"
"dbo,common,ServiceType"
"dbo,common,SimpleFileTransferAudit"
"dbo,common,StatementActivityLog"
"dbo,common,StatementItem"
"dbo,common,StatementItemSummary"
"dbo,common,StatementItemSummaryTemp1"
"dbo,common,SupportDataSourceRequest"
"dbo,common,SupportEventOps"
"dbo,common,SupportFunction"
"dbo,common,SupportGroup"
"dbo,common,SupportGroupFunction"
"dbo,common,SupportGroupUser"
"dbo,common,SupportNote"
"dbo,common,SupportPayerSetGroup"
"dbo,common,SupportRole"
"dbo,common,SupportRole_Bak2"
"dbo,common,SupportServiceCodePayerSet"
"dbo,common,SupportTaskUser"
"dbo,common,SupportTeam"
"dbo,common,SupportTeamUser"
"dbo,common,SupportUser"
"dbo,common,SupportUserAudit"
"dbo,common,SupportUserCommission"
"dbo,common,SupportUserCommission_0318"
"dbo,common,SupportUserConfig"
"dbo,common,SupportUserLoginAudit"
"dbo,common,SupportUserLoginChangeAudit"
"dbo,common,SupportUserPasswordHistory"
"dbo,common,Ticket"
"dbo,common,TicketAppointment"
"dbo,common,TicketAttachment"
"dbo,common,TicketNote"
"dbo,common,TicketNotification"
"dbo,common,TicketStatusHistory"
"dbo,common,TicketSubCategoryTypeHistory"
"dbo,common,TicketSubcategory"
"dbo,common,TicketSubcategoryHistory"
"dbo,common,TicketUserAssignment"
"dbo,common,UserAddress"
"dbo,common,UserAddressAudit"
"dbo,common,UserAlias"
"dbo,common,UserAliasAudit"
"dbo,common,UserLoginChangeAudit"
"dbo,common,Users"
"dbo,common,UsersAudit"
"dbo,common,VIP"
"dbo,common,pmsgroup_test"
"dbo,common,providerdirectoryold"
"dbo,common,supportrole_backup1115_1102AM"
"dbo,common,supportrole_bak"
"dbo,cred,ApplicationSet"
"dbo,cred,ApplicationSetDocument"
"dbo,cred,ApplicationSetDocumentMeta"
"dbo,cred,ApplicationSetHistory"
"dbo,cred,ApplicationSetSupportUserHistory"
"dbo,cred,NPDBServiceAudit"
"dbo,cred,OutreachPayerConfig"
"dbo,cred,OutreachPayerConfigAudit"
"dbo,cred,OutreachStaffGroupMembers"
"dbo,cred,OutreachStaffGroupMembersAudit"
"dbo,cred,PayerChecklistAnswer"
"dbo,cred,PayerConfig"
"dbo,cred,PayerEmailConfig"
"dbo,cred,PayerTagValueConfig"
"dbo,cred,PrimaryDataSourceConfig"
"dbo,cred,PrimaryDataSourceLookupResponse"
"dbo,cred,ProviderGroupDetail"
"dbo,dci,BenefitSearchUpgrade"
"dbo,dci,Claim"
"dbo,dci,ClaimArchive"
"dbo,dci,ClaimExtension"
"dbo,dci,ClaimFileUpload"
"dbo,dci,ClaimFileUploadAudit"
"dbo,dci,ClaimFileUploadNote"
"dbo,dci,ClaimHistory"
"dbo,dci,ClaimItem"
"dbo,dci,ClaimPayer"
"dbo,dci,ClaimPayment"
"dbo,dci,ClaimPaymentClaim"
"dbo,dci,ClaimPaymentClaimItem"
"dbo,dci,ClaimPaymentHistory"
"dbo,dci,ClaimPaymentReport"
"dbo,dci,ClaimPaymentReportClaim"
"dbo,dci,ClaimResponse"
"dbo,dci,OfficeResponse"
"dbo,dci,OfficeResponseAudit"
"dbo,dci,OpsAudit"
"dbo,dci,PartnerClaimDeliveryOps"
"dbo,dci,PartnerClaimDeliveryRegistration"
"dbo,dci,PayerService"
"dbo,dci,PayerServiceAudit"
"dbo,dci,Procedure"
"dbo,dci,ProcedureAudit"
"dbo,dci,ProviderRegistration"
"dbo,dci,RTBAWidgetUpdate"
"dbo,dci,RTServiceAudit"
"dbo,dci,SAServiceAudit"
"dbo,dci,ServiceClientProperty"
"dbo,dci,ServiceCredential"
"dbo,dci,ServiceInfo"
"dbo,dci,ServiceProperty"
"dbo,dci,ServicePropertyAudit"
"dbo,dci,ServiceTypeProcedure"
"dbo,dci,SummaryAudit"
"dbo,dci,XmlEdiErrorCode"
"dbo,dci,arc_Claim_RTServiceAuditID_Delete_List"
"dbo,dci,arc_Claim_RTServiceAuditID_Delete_ListClaim"
"dbo,dci,arc_Claim_SAServiceAuditID_Delete_List"
"dbo,dci,arc_Claim_SAServiceAuditID_Delete_ListClaim"
"dbo,dci,arc_RTServiceAuditID_Archive_List"
"dbo,dci,arc_SAServiceAuditID_Archive_List"
"dbo,ddir,PracticeProfile"
"dbo,ddir,PracticeProfileAudit"
"dbo,ddir,PracticeService"
"dbo,ddir,PracticeServiceAudit"
"dbo,ddir,Service"
"dbo,dea,Attachment"
"dbo,dea,AttachmentHistory"
"dbo,dea,AttachmentService"
"dbo,dea,AttachmentServiceAudit"
"dbo,dea,RTServiceAudit"
"dbo,dea,SAServiceAudit"
"dbo,dea,ServiceDowntime"
"dbo,dea,ServiceHostConfiguration"
"dbo,dea,ServiceProperty"
"dbo,dea,ServicePropertyAudit"
"dbo,dea,arc_Attachment_RTServiceAuditID_Delete_List"
"dbo,dea,arc_Attachment_SAServiceAuditID_Delete_List"
"dbo,dhmo,OfficeServiceClient"
"dbo,dw_atm_dxc,chs_MetaClaim_Since2023"
"dbo,dw_atm_dxc,cred_billingactivity"
"dbo,dw_atm_dxc,dci_billingactivity"
"dbo,dw_atm_dxc,dci_claim_6mos"
"dbo,dw_atm_dxc,dci_rtserviceaudit_6mos"
"dbo,dw_atm_dxc,dea_attachments_6mos"
"dbo,dw_atm_dxc,pnt_billingactivity"
"dbo,dw_dxc,DssCommissionEarnedPointsDetail_aud"
"dbo,dw_dxc,DssSalesCommissionDetail_aud"
"dbo,dw_dxc,DssSalesCommission_aud"
"dbo,dxcps,FD_GlobalBIN"
"dbo,dxcps,Payment_Type_T"
"dbo,dxcps,Processor_T"
"dbo,dxcps,Service_Plan_T"
"dbo,dxcps,Service_T"
"dbo,dxcps,User_T"
"dbo,entyDev,Entities"
"dbo,erp,ClientGLEntrySummary"
"dbo,erp,ClientGLEntrySummaryAudit"
"dbo,erp,ClientUsageSummary"
"dbo,erp,ClientUsageSummaryAudit"
"dbo,erp,ClientUsageSummary_20250128Backup"
"dbo,erp,ClientUsageSummary_TEST"
"dbo,erp,ERPAccountLookup"
"dbo,erp,ERPAccountLookupAudit"
"dbo,erp,ERPItemFeatureNameLookup"
"dbo,erp,ERPItemFeatureNameLookupAudit"
"dbo,erp,ERPItemLookup"
"dbo,erp,ERPItemLookupAudit"
"dbo,erp,ERPItemMasterItemLookup"
"dbo,erp,ERPMasterItemLookup"
"dbo,erp,ERPRecordTypeLookup"
"dbo,erp,ERPRecordTypeLookupAudit"
"dbo,erp,ERPSubsidiaryLookup"
"dbo,erp,ERPSubsidiaryLookupAudit"
"dbo,erpDev,ClientGLEntrySummary"
"dbo,erpDev,ClientUsageSummary"
"dbo,erpDev,ERPItemLookup"
"dbo,erpDev,ERPItemMasterItemLookup"
"dbo,erpDev,ERPMasterItemLookup"
"dbo,erpDev,ERPRecordTypeLookup"
"dbo,erpDev,ERPSubsidiaryLookup"
"dbo,ext_raw_ec,dataconnectionpool"
"dbo,ext_raw_ec,eligibilitydata"
"dbo,ext_raw_ec,eligibilityschedule"
"dbo,ext_raw_ec,errortype"
"dbo,ext_raw_ec,payerproperty"
"dbo,master,DCIClaimFLATClaimsLifeCycles"
"dbo,master,DCIClaimFLATClaimsLifeCyclesArchive"
"dbo,master,DEAAttachmentFLATAttachmentsLifeCycles"
"dbo,master,rptCLCtClaimDETClaimStatusDetailXDaysAged"
"dbo,master,rptDCIClaimDETClaimsEnteredDetails"
"dbo,master,rptDCIClaimDETUserResolvedClaimsDetail"
"dbo,merchant,RTServiceAudit"
"dbo,ns,Charge_copy"
"dbo,ns,Customer_copy"
"dbo,ns,Item_copy"
"dbo,ns,TransactionLine_copy"
"dbo,ns,Transaction_copy"
"dbo,ntf,SAServiceAudit"
"dbo,ntf,ServiceDowntime"
"dbo,ntf,ServiceHostConfiguration"
"dbo,ntf,ServiceProperty"
"dbo,ntf,ServicePropertyAudit"
"dbo,pfs,ApplicationDigest"
"dbo,pfs,AuthorizationRequest"
"dbo,pfs,AuthorizationRequestHistory"
"dbo,pfs,AuthorizationResponse"
"dbo,pfs,CreditApplication"
"dbo,pfs,CreditApplicationHistory"
"dbo,pfs,CreditOffer"
"dbo,pfs,CreditPartner"
"dbo,pfs,CreditReport"
"dbo,pfs,PFSGroup"
"dbo,pfs,PFSGroupHistory"
"dbo,pfs,PartnerCreditPlan"
"dbo,pfs,PartnerError"
"dbo,pfs,RTServiceAudit"
"dbo,pfs,SAServiceAudit"
"dbo,pfs,ServiceProperty"
"dbo,pfs,ServicePropertyAudit"
"dbo,pfs,Settlement"
"dbo,pfs,SettlementHistory"
"dbo,pnt,PntGroup"
"dbo,pnt,PntGroupHistory"
"dbo,pnt,RTServiceAudit"
"dbo,pnt,SAServiceAudit"
"dbo,pnt,ServiceDowntime"
"dbo,pnt,ServiceHostConfiguration"
"dbo,pnt,ServiceProperty"
"dbo,pnt,ServicePropertyAudit"
"dbo,pnt,Statement"
"dbo,pnt,StatementFile"
"dbo,pnt,StatementFileAudit"
"dbo,pnt,StatementFileNote"
"dbo,pnt,StatementHistory"
"dbo,pnt,StatementPageCount"
"dbo,pnt,StatementReminder"
"dbo,ptp,ProviderPayment"
"dbo,reports,Billing_StatementActivityLog"
"dbo,reports,ClaimConnectClaimDeliveryFacts"
"dbo,reports,Claims_status40"
"dbo,reports,CommissionRates"
"dbo,reports,CommissionSplitTemp"
"dbo,reports,CredReports"
"dbo,reports,DSSCommissionAuditbyTin"
"dbo,reports,DssCommissionEarnedPoints"
"dbo,reports,DssCommissionEarnedPoints2"
"dbo,reports,DssCommissionEarnedPointsDetail"
"dbo,reports,DssCommissionEarnedPointsDetail0218"
"dbo,reports,DssCommissionEarnedPointsDetail2"
"dbo,reports,DssCommissionEarnedPointsDetailbkup"
"dbo,reports,DssFDResidualReport"
"dbo,reports,DssFirstDataResidual"
"dbo,reports,DssFonalitySupportSum"
"dbo,reports,DssGroup"
"dbo,reports,DssGroupCommissionCalc"
