--- Report for Dsos Mode (Tables Only) ---
Database,Table,Matched,File
dw_atm_dxc,[dbo].[dci_rtserviceaudit_6mos](,service,DTT-ANA-PRD/dw_atm_dxc.sql
nsDev,[dbo].[demandSourceType],dSo,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[ItemDemandSource],dSo,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemBillingRate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemCorrelateditem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemItemAccountingBookDetail],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemItemVendor],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemPresentationItem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemPrice],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemQuantity],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemSiteCategory],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemSubsidiaryMap],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemTaskTemplate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceItemTranslation],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[servicePurchaseItemItemAccountingBookDetail],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[servicePurchaseItemItemVendor],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[servicePurchaseItemSubsidiaryMap],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[servicePurchaseItemTranslation],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemBillingRate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemCorrelateditem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemItemAccountingBookDetail],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemItemVendor],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemPresentationItem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemPrice],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemQuantity],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemSiteCategory],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemSubsidiaryMap],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemTaskTemplate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceResaleItemTranslation],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemBillingRate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemCorrelateditem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemItemAccountingBookDetail],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemPresentationItem],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemPrice],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemQuantity],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemSiteCategory],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemSubsidiaryMap],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemTaskTemplate],service,DTT-TRX-PRD/nsDev.sql
nsDev,[dbo].[serviceSaleItemTranslation],service,DTT-TRX-PRD/nsDev.sql
ns,[dbo].[demandSourceType],dSo,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[ItemDemandSource],dSo,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemBillingRate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemCorrelateditem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemItemAccountingBookDetail],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemItemVendor],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemPresentationItem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemPrice],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemQuantity],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemSiteCategory],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemSubsidiaryMap],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemTaskTemplate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceItemTranslation],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[servicePurchaseItemItemAccountingBookDetail],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[servicePurchaseItemItemVendor],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[servicePurchaseItemSubsidiaryMap],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[servicePurchaseItemTranslation],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemBillingRate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemCorrelateditem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemItemAccountingBookDetail],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemItemVendor],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemPresentationItem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemPrice],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemQuantity],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemSiteCategory],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemSubsidiaryMap],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemTaskTemplate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceResaleItemTranslation],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemBillingRate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemCorrelateditem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemItemAccountingBookDetail],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemPresentationItem],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemPrice],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemQuantity],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemSiteCategory],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemSubsidiaryMap],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemTaskTemplate],service,DTT-TRX-PRD/erpQA.sql
ns,[dbo].[serviceSaleItemTranslation],service,DTT-TRX-PRD/erpQA.sql
merchant,[dbo].[RTServiceAudit](,Service,Livesql3/merchant.sql
pnt,[dbo].[DataBill_Support_Temp](,Support,Livesql3/pnt.sql
pnt,[dbo].[RTServiceAudit](,Service,Livesql3/pnt.sql
pnt,[dbo].[SAServiceAudit](,Service,Livesql3/pnt.sql
pnt,[dbo].[ServiceDowntime](,Service,Livesql3/pnt.sql
pnt,[dbo].[ServiceHostConfiguration](,Service,Livesql3/pnt.sql
pnt,[dbo].[ServiceProperty](,Service,Livesql3/pnt.sql
pnt,[dbo].[ServicePropertyAudit](,Service,Livesql3/pnt.sql
dhmo,[dbo].[OfficeServiceClient](,Service,Livesql3/dhmo.sql
common,[dbo].[GroupSupportUser](,Support,Livesql3/Common.sql
common,[dbo].[SupportUser](,Support,Livesql3/Common.sql
common,[dbo].[vwSupportNames],Support,Livesql3/Common.sql
common,[dbo].[AlertSAServiceAudit](,Service,Livesql3/Common.sql
common,[dbo].[MerchantMigrationServiceAudit](,Service,Livesql3/Common.sql
common,[dbo].[MerchantServiceAudit_Arc](,Service,Livesql3/Common.sql
common,[dbo].[RTServiceAudit](,Service,Livesql3/Common.sql
common,[dbo].[ServiceClient](,Service,Livesql3/Common.sql
common,[dbo].[ServiceClientAccess](,Service,Livesql3/Common.sql
common,[dbo].[ServiceClientPMS](,Service,Livesql3/Common.sql
common,[dbo].[ServiceClientUser](,Service,Livesql3/Common.sql
common,[dbo].[ServiceCode](,Service,Livesql3/Common.sql
common,[dbo].[ServiceDowntime](,Service,Livesql3/Common.sql
common,[dbo].[ServiceFee](,Service,Livesql3/Common.sql
common,[dbo].[ServiceHostConfiguration](,Service,Livesql3/Common.sql
common,[dbo].[ServiceProperty](,Service,Livesql3/Common.sql
common,[dbo].[ServicePropertyAudit](,Service,Livesql3/Common.sql
common,[dbo].[ServiceServiceCode](,Service,Livesql3/Common.sql
common,[dbo].[ServiceServiceCode](,Service,Livesql3/Common.sql
common,[dbo].[ServiceStatus](,Service,Livesql3/Common.sql
common,[dbo].[ServiceType](,Service,Livesql3/Common.sql
common,[dbo].[SupportDataSourceRequest](,Support,Livesql3/Common.sql
common,[dbo].[SupportDataSourceResponse](,Support,Livesql3/Common.sql
common,[dbo].[SupportEventOps](,Support,Livesql3/Common.sql
common,[dbo].[SupportFunction](,Support,Livesql3/Common.sql
common,[dbo].[SupportGroup](,Support,Livesql3/Common.sql
common,[dbo].[SupportGroupFunction](,Support,Livesql3/Common.sql
common,[dbo].[SupportGroupUser](,Support,Livesql3/Common.sql
common,[dbo].[SupportMessage](,Support,Livesql3/Common.sql
common,[dbo].[SupportNote](,Support,Livesql3/Common.sql
common,[dbo].[SupportPayerSet](,Support,Livesql3/Common.sql
common,[dbo].[SupportPayerSetGroup](,Support,Livesql3/Common.sql
common,[dbo].[SupportRequest](,Support,Livesql3/Common.sql
common,[dbo].[SupportRole](,Support,Livesql3/Common.sql
common,[dbo].[supportrole_backup1115_1102AM](,support,Livesql3/Common.sql
common,[dbo].[supportrole_bak](,support,Livesql3/Common.sql
common,[dbo].[SupportRole_Bak2](,Support,Livesql3/Common.sql
common,[dbo].[SupportServiceCodePayerSet](,Support,Livesql3/Common.sql
common,[dbo].[SupportServiceCodePayerSet](,Service,Livesql3/Common.sql
common,[dbo].[SupportTask](,Support,Livesql3/Common.sql
common,[dbo].[SupportTaskUser](,Support,Livesql3/Common.sql
common,[dbo].[SupportTeam](,Support,Livesql3/Common.sql
common,[dbo].[SupportTeamUser](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserAudit](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserCommission](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserCommission_0318](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserConfig](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserLoginAudit](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserLoginChangeAudit](,Support,Livesql3/Common.sql
common,[dbo].[SupportUserPasswordHistory](,Support,Livesql3/Common.sql
dci,[dbo].[RTServiceAudit](,Service,Livesql3/dci.sql
dci,[dbo].[vRTServiceAudit],Service,Livesql3/dci.sql
dci,[dbo].[SAServiceAudit](,Service,Livesql3/dci.sql
dci,[dbo].[vSAServiceAudit],Service,Livesql3/dci.sql
dci,[dbo].[ServiceProperty](,Service,Livesql3/dci.sql
dci,[dbo].[ServiceConfiguration],Service,Livesql3/dci.sql
dci,[dbo].[arc_Claim_RTServiceAuditID_Delete_List](,Service,Livesql3/dci.sql
dci,[dbo].[arc_Claim_RTServiceAuditID_Delete_ListClaim](,Service,Livesql3/dci.sql
dci,[dbo].[arc_Claim_SAServiceAuditID_Delete_List](,Service,Livesql3/dci.sql
dci,[dbo].[arc_Claim_SAServiceAuditID_Delete_ListClaim](,Service,Livesql3/dci.sql
dci,[dbo].[arc_RTServiceAuditID_Archive_List](,Service,Livesql3/dci.sql
dci,[dbo].[arc_SAServiceAuditID_Archive_List](,Service,Livesql3/dci.sql
dci,[dbo].[DentalServiceType](,Service,Livesql3/dci.sql
dci,[dbo].[PayerService](,Service,Livesql3/dci.sql
dci,[dbo].[PayerServiceAudit](,Service,Livesql3/dci.sql
dci,[dbo].[ServiceClientProperty](,Service,Livesql3/dci.sql
dci,[dbo].[ServiceCredential](,Service,Livesql3/dci.sql
dci,[dbo].[ServiceInfo](,Service,Livesql3/dci.sql
dci,[dbo].[ServicePropertyAudit](,Service,Livesql3/dci.sql
dci,[dbo].[ServiceTypeProcedure](,Service,Livesql3/dci.sql
cred,[dbo].[ApplicationSetSupportUserHistory](,Support,Livesql3/cred.sql
cred,[dbo].[NPDBServiceAudit](,Service,Livesql3/cred.sql
ntf,[dbo].[SAServiceAudit](,Service,Livesql3/ntf.sql
ntf,[dbo].[ServiceDowntime](,Service,Livesql3/ntf.sql
ntf,[dbo].[ServiceHostConfiguration](,Service,Livesql3/ntf.sql
ntf,[dbo].[ServiceProperty](,Service,Livesql3/ntf.sql
ntf,[dbo].[ServicePropertyAudit](,Service,Livesql3/ntf.sql
chs,[dbo].[RTServiceAudit](,Service,Livesql3/chs.sql
chs,[dbo].[ServiceProperty](,Service,Livesql3/chs.sql
chs,[dbo].[ServicePropertyAudit](,Service,Livesql3/chs.sql
pfs,[dbo].[ServiceProperty](,Service,Livesql3/pfs.sql
pfs,[dbo].[RTServiceAudit](,Service,Livesql3/pfs.sql
pfs,[dbo].[SAServiceAudit](,Service,Livesql3/pfs.sql
pfs,[dbo].[ServicePropertyAudit](,Service,Livesql3/pfs.sql
reports,[dbo].[DssSupportUserProfile](,Support,Livesql3/reportst.sql
reports,[dbo].[DssFonalitySupportSum](,Support,Livesql3/reportst.sql
reports,[dbo].[RTServiceAudit](,Service,Livesql3/reportst.sql
reports,[dbo].[RTServiceReports](,Service,Livesql3/reportst.sql
reports,[dbo].[SAServiceAudit](,Service,Livesql3/reportst.sql
reports,[dbo].[ServiceDowntime](,Service,Livesql3/reportst.sql
reports,[dbo].[ServiceFailure](,Service,Livesql3/reportst.sql
reports,[dbo].[ServiceHostConfiguration](,Service,Livesql3/reportst.sql
reports,[dbo].[ServiceProperty](,Service,Livesql3/reportst.sql
reports,[dbo].[ServicePropertyAudit](,Service,Livesql3/reportst.sql
reports,[dbo].[SupportACD](,Support,Livesql3/reportst.sql
reports,[dbo].[supportacdbkp](,support,Livesql3/reportst.sql
reports,[dbo].[SupportCDR](,Support,Livesql3/reportst.sql
reports,[dbo].[SupportCDR2](,Support,Livesql3/reportst.sql
reports,[dbo].[supportcdrbkp](,support,Livesql3/reportst.sql
reports,[dbo].[supportFonalityCDRTmp](,support,Livesql3/reportst.sql
reports,[dbo].[SupportTicketSLA](,Support,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_Claims](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_Claims_TransactionEvents](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_Cred](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_ERA](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_PatStmt](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_RTClaims](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_RTCount](,DSO,Livesql3/reportst.sql
reports,[dbo].[temp_DSO_Subscription_ClientSubscriptionEvents](,DSO,Livesql3/reportst.sql
reports,[dbo].[TicketSupportPass](,Support,Livesql3/reportst.sql
dea,[dbo].[arc_Attachment_RTServiceAuditID_Delete_List](,Service,Livesql3/dea.sql
dea,[dbo].[arc_Attachment_SAServiceAuditID_Delete_List](,Service,Livesql3/dea.sql
dea,[dbo].[AttachmentService](,Service,Livesql3/dea.sql
dea,[dbo].[AttachmentServiceAudit](,Service,Livesql3/dea.sql
dea,[dbo].[RTServiceAudit](,Service,Livesql3/dea.sql
dea,[dbo].[SAServiceAudit](,Service,Livesql3/dea.sql
dea,[dbo].[ServiceDowntime](,Service,Livesql3/dea.sql
dea,[dbo].[ServiceHostConfiguration](,Service,Livesql3/dea.sql
dea,[dbo].[ServiceProperty](,Service,Livesql3/dea.sql
dea,[dbo].[ServicePropertyAudit](,Service,Livesql3/dea.sql
dxcps,[dbo].[Service_Plan_T](,Service,Livesql3/dxcps.sql
dxcps,[dbo].[Service_T](,Service,Livesql3/dxcps.sql
ddir,[dbo].[PracticeService](,Service,Livesql3/ddir.sql
ddir,[dbo].[PracticeServiceAudit](,Service,Livesql3/ddir.sql
ddir,[dbo].[Service](,Service,Livesql3/ddir.sql
