Database,Schema,Source Table,Source Key Column,Target Table,Target Column,File
rpt,dbo,CategoryQuestion,CategoryID,FK_CategoryQuestion_Category_CategoryID,Category,CategoryID,DTT-ANA-PRD/rpt.sql
rpt,dbo,CategoryQuestion,QuestionID,FK_CategoryQuestion_Question_QuestionID,Question,QuestionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategory,CategoryID,FK_DashboardCategory_Category_CategoryID,Category,CategoryID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategory,DashboardID,FK_DashboardCategory_Dashboard_DashboardID,Dashboard,DashboardID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategoryFilter,DashboardCategoryID,FK_DashboardCategoryFilter_DashboardCategory_DashboardCategoryID,DashboardCategory,DashboardCategoryID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategoryFilter,FilterID,FK_DashboardCategoryFilter_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategoryQuestion,DashboardCategoryID,FK_DashboardCategoryQuestion_DashboardCategory_DashboardCategoryID,DashboardCategory,DashboardCategoryID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardCategoryQuestion,QuestionID,FK_DashboardCategoryQuestion_Question_QuestionID,Question,QuestionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardFilter,DashboardID,FK_DashboardFilter_Dashboard_DashboardID,Dashboard,DashboardID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardFilter,FilterID,FK_DashboardFilter_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardQuestion,DashboardID,FK_DashboardQuestion_Dashboard_DashboardID,Dashboard,DashboardID,DTT-ANA-PRD/rpt.sql
rpt,dbo,DashboardQuestion,QuestionID,FK_DashboardQuestion_Question_QuestionID,Question,QuestionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,FilterDefault,FilterID,FK_FilterDefault_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,FilterOption,FilterID,FK_FilterOption_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
