Database,Schema,Table,Matched,File
ext_raw,dbo,FiservJan24$,Card Network,DTT-ANA-PRD/ext_raw.sql
partcredDM,dbo,PayerPartnerOutreach,PayerPartnerOutreachID,DTT-ANA-PRD/partcredDM.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,SourcePartnerCode,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,DestPartnerCode,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,PartnerAccountNumber,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,cred_billingactivity,Group_Package_Partner_ID,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,cred_billingactivity,Group_Package_Partner_Name,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dci_billingactivity,Group_Package_Partner_ID,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dci_billingactivity,Group_Package_Partner_Name,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dci_rtserviceaudit_6mos,PartnerID,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dea_attachments_6mos,SourcePartnerCode,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dea_attachments_6mos,DestPartnerCode,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,dea_attachments_6mos,PartnerClaimID,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,pnt_billingactivity,Group_Package_Partner_ID,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,pnt_billingactivity,Group_Package_Partner_Name,DTT-ANA-PRD/dw_atm_dxc.sql
ext_raw_pc,dbo,cardpaymentmethods,network,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_ec,dbo,payerbenefit,networkname,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,payerbenefitmanualentry,networkname,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,payerbenefitmanualentry,networktype,DTT-ANA-PRD/ext_raw_ec.sql
lkr,pdt,LR$LQ7391755234095634_clearinghouse_claim_statuses,Source_Partner_Code,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQ7391755234095634_clearinghouse_claim_statuses,Source_Partner_Name,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQ7391755234095634_clearinghouse_claim_statuses,Claim_Status_Source_Partner_Code,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755293594531_clearinghouse_enrollment_errors,Source_Partner_Code,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755293594531_clearinghouse_enrollment_errors,Source_Partner_Name,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755293594531_clearinghouse_enrollment_errors,Claim_Status_Source_Partner_Code,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755300938467_clearinghouse_enrollment_errors,Source_Partner_Code,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755300938467_clearinghouse_enrollment_errors,Source_Partner_Name,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQPAC1755300938467_clearinghouse_enrollment_errors,Claim_Status_Source_Partner_Code,DTT-ANA-PRD/lkr.sql
master,dbo,DataloadSQL3_Payers_Table,MasterDestPartnerCode,DTT-ANA-PRD/ent.sql
