Database,Schema,Table,Matched,File
partcredDM,dbo,PayerPartnerOutreach,Partner,DTT-ANA-PRD/partcredDM.sql
dw_dxc,dbo,historicalpartnerpayerset,partner,DTT-ANA-PRD/dw_dxc.sql
nsDev,dbo,CustomerPartner,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,InvoicePartner,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,PartnerAddressbookEntityAddress,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,PartnerSystem,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,PresCategorySiteAudienceSiteAudiencePartner,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,salesOrderPartner,Partner,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,transactionPartner,Partner,DTT-TRX-PRD/nsDev.sql
ns,dbo,creditMemoPartner,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,CustomerPartner,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,InvoicePartner,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,PartnerAddressbookEntityAddress,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,PartnerSystem,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,PresCategorySiteAudienceSiteAudiencePartner,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,salesOrderPartner,Partner,DTT-TRX-PRD/erpQA.sql
ns,dbo,transactionPartner,Partner,DTT-TRX-PRD/erpQA.sql
common,dbo,GroupPartnerDisplay,Partner,Livesql3/Common.sql
common,dbo,Partner,Partner,Livesql3/Common.sql
common,dbo,PartnerCaseConfig,Partner,Livesql3/Common.sql
common,dbo,PartnerConfigType,Partner,Livesql3/Common.sql
common,dbo,PartnerLoginConfig,Partner,Livesql3/Common.sql
common,dbo,PartnerRegistrationCode,Partner,Livesql3/Common.sql
common,dbo,PartnerSecurity,Partner,Livesql3/Common.sql
common,dbo,PartnerSecurityAccess,Partner,Livesql3/Common.sql
common,dbo,PartnerSecurityTokenConfig,Partner,Livesql3/Common.sql
common,dbo,PartnerTranSubType,Partner,Livesql3/Common.sql
