Database,Schema,Table,Matched,File
ext_raw_mp,dbo,DXC_ZentistParnershipRevenueTracker2,# Total Practices,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,DXC_ZentistParnershipRevenueTracker2,Number of locations,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,DXC_ZentistParnershipRevenueTracker2,Cumulative Number of locations,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,DXC_ZentistParnershipRevenueTracker2,Implementation Price Location,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexport,TotalPractices,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexport,HQLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexport,ImplementationPriceLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexport,TotalPracticestext,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexportAudit,TotalPractices,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexportAudit,HQLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexportAudit,ImplementationPriceLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexportAudit,TotalPracticestext,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexporttemp,TotalPractices,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexporttemp,HQLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexporttemp,ImplementationPriceLocation,DTT-ANA-PRD/ext_raw_mp.sql
ext_raw_mp,dbo,MPExtZentistNotionleadsexporttemp,TotalPracticestext,DTT-ANA-PRD/ext_raw_mp.sql
rpt,dbo,SSISDistributionClientsFTPDistributions,PackageVariable_sftpLocation,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributionsAudit,PackageVariable_sftpLocation,DTT-ANA-PRD/rpt.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,PayerAddress1,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,PayerAddress2,DTT-ANA-PRD/dw_atm_dxc.sql
ext_raw_pc,dbo,backofficeusers,_airbyte_backofficeusers_hashid,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,backofficeusertokens,_airbyte_backofficeusertokens_hashid,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,merchants,address,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,merchants,address2,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,patients,streetaddress1,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,patients,streetaddress2,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,users,originipaddress,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_ec,dbo,Member,address2,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,Member,address1,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,payer,address2,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,payer,address1,DTT-ANA-PRD/ext_raw_ec.sql
ext_raw_ec,dbo,usereulaagreement,ipaddress,DTT-ANA-PRD/ext_raw_ec.sql
lkr,pdt,LR$LQCDP1755266433236_dci_claim_statuses,Billing_Provider_Address,DTT-ANA-PRD/lkr.sql
lkr,pdt,LR$LQCDP1755266433236_dci_claim_statuses,Rendering_Provider_Address,DTT-ANA-PRD/lkr.sql
master,dbo,rptDCIClaimAGGPendingClaimStatusAgedSnapshot,MultilocationID,DTT-ANA-PRD/ent.sql
master,dbo,rptDCIClaimDETUserResolvedClaimsDetail,MultilocationID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDApplicationSetDETApprovedAppsPayerApprovedLocations,PayerApprovedLocationID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDApplicationSetDETApprovedAppsPayerApprovedLocations,MaxAllowedAddLocations,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDApplicationSetDETApprovedAppsPayerApprovedLocations,LocationType,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,ProviderProfileLocationAnswerID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,PrimaryLocation,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,DisplayLocationsAnswerContent,DTT-ANA-PRD/ent.sql
master,entity,Appointments,BillingProviderLocationName,DTT-ANA-PRD/ent.sql
trxWsdm,dbo,ClientSubscriptionEvents,MultilocationEntityID,DTT-TRX-PRD/trxWsdm.sql
trxWsdm,dbo,ClientSubscriptionEvents,MultilocationEntityName,DTT-TRX-PRD/trxWsdm.sql
trxWsdm,dbo,ClientTransactions,MultilocationEntityID,DTT-TRX-PRD/trxWsdm.sql
trxWsdm,dbo,ClientTransactions,MultilocationEntityName,DTT-TRX-PRD/trxWsdm.sql
trxTest,dbo,ClientSubscriptionEvents,MultilocationEntityID,DTT-TRX-PRD/trxTest.sql
trxTest,dbo,ClientSubscriptionEvents,MultilocationEntityName,DTT-TRX-PRD/trxTest.sql
trxTest,dbo,ClientTransactions,MultilocationEntityID,DTT-TRX-PRD/trxTest.sql
trxTest,dbo,ClientTransactions,MultilocationEntityName,DTT-TRX-PRD/trxTest.sql
trx,dbo,ClientSubscriptionEvents,MultilocationEntityID,DTT-TRX-PRD/trx.sql
trx,dbo,ClientSubscriptionEvents,MultilocationEntityName,DTT-TRX-PRD/trx.sql
trx,dbo,ClientTransactions,MultilocationEntityID,DTT-TRX-PRD/trx.sql
trx,dbo,ClientTransactions,MultilocationEntityName,DTT-TRX-PRD/trx.sql
trxQA,dbo,ClientTransactions,MultilocationEntityID,DTT-TRX-PRD/trxQA.sql
trxQA,dbo,ClientTransactions,MultilocationEntityName,DTT-TRX-PRD/trxQA.sql
trxQA,dbo,ClientSubscriptionEvents,MultilocationEntityID,DTT-TRX-PRD/trxQA.sql
trxQA,dbo,ClientSubscriptionEvents,MultilocationEntityName,DTT-TRX-PRD/trxQA.sql
ns,dbo,Charge_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,Customer_copy,defaultallocationstrategy,DTT-TRX-PRD/erpQA.sql
ns,dbo,Customer_copy,defaultbillingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Customer_copy,defaultshippingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,CustomerAddressBook_copy,addressbookaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,CustomerAddressBookEntityAddress_copy,addressee,DTT-TRX-PRD/erpQA.sql
ns,dbo,Item_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,Item_copy,preferredlocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,Item_copy,revenueallocationgroup,DTT-TRX-PRD/erpQA.sql
ns,dbo,SalesInvoiced_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,Subscription_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,billingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,custbody_ava_sendimportaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,custbody_ava_usebilltoaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,shippingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Transaction_copy,transferlocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,allocationalert,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,fxvsoeallocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,inventorylocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,inventoryreportinglocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,isallocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,isfreezefirmallocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,location,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,orderallocationstrategy,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,targetlocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,TransactionLine_copy,vsoeallocation,DTT-TRX-PRD/erpQA.sql
ns,dbo,Vendor_copy,defaultbillingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Vendor_copy,defaultshippingaddress,DTT-TRX-PRD/erpQA.sql
ns,dbo,Vendor_copy,manufacturinglocations,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscription_copy,custrecordzab_s_billing_address,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscription_copy,custrecordzab_s_billing_address_altent,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscription_copy,custrecordzab_s_location,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscription_copy,custrecordzab_s_shipping_address,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscription_copy,custrecordzab_s_shipping_address_altent,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscriptionItem_copy,custrecordzab_si_billing_address,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscriptionItem_copy,custrecordzab_si_billing_address_altent,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscriptionItem_copy,custrecordzab_si_location,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscriptionItem_copy,custrecordzab_si_shipping_address,DTT-TRX-PRD/erpQA.sql
ns,dbo,ZABSubscriptionItem_copy,custrecordzab_si_shipping_address_altent,DTT-TRX-PRD/erpQA.sql
trxDev,dbo,ClientSubscriptionEvents,MultilocationEntityID,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,ClientSubscriptionEvents,MultilocationEntityName,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,ClientTransactions,MultilocationEntityID,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,ClientTransactions,MultilocationEntityName,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressPhone,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressStreet1,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressStreet2,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressCity,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressState,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpace,BusinessAddressZip,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpaceold,BusinessAddressPhone,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpaceold,BusinessAddressStreet1,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpaceold,BusinessAddressStreet2,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpaceold,BusinessAddressCity,DTT-TRX-PRD/trxDev.sql
trxDev,dbo,HipaaSpaceold,BusinessAddressState,DTT-TRX-PRD/trxDev.sql
