Database,Schema,Table,Matched,File
ext_raw_pc,dbo,_airbyte_raw_BackOfficeUsers,Office,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,_airbyte_raw_BackOfficeUserTokens,Office,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,backofficeusers,office,DTT-ANA-PRD/ext_raw_pc.sql
ext_raw_pc,dbo,backofficeusertokens,office,DTT-ANA-PRD/ext_raw_pc.sql
master,ddsenroll,CREDApplicationSetDETApprovedAppsPayerApprovedLocations,Location,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,Location,DTT-ANA-PRD/ent.sql
nsDev,dbo,AddressBook,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,addressType,address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,aggregateItemLocation,Location,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,AllocationMethod,location,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,assemblyItemLocations,Location,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,cashRefundBillingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,cashRefundShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CashSaleBillingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CashSaleItemShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CashSaleShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,checkPayeeAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CompanyAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CompanyAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,ContactAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,ContactAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,creditMemoBillingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CreditMemoItemShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,creditMemoShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,customerAddressbook,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,customerAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,customerAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,customerRefundPayeeAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMRECORD_AVAADDRESSVALIDATIONBATCH,ADDRESS,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMRECORD_VATADDRESSES,ADDRESS,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,CUSTOMRECORD_VENDORVATADDRESSES,ADDRESS,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,employeeAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,employeeAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,EntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,entityAddressbook,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,estimateBillingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,estimateItemShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,estimateShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,intercompanyTransferOrderShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,InvoiceBillingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,InvoiceItemShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,InvoiceShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,itemFulfillmentReturnAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,itemFulfillmentShippingAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,jobAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,jobAddressbookEntityAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,LocationMainAddress,Location,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,LocationMainAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,LocationReturnAddress,Location,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,LocationReturnAddress,Address,DTT-TRX-PRD/nsDev.sql
nsDev,dbo,LocationType,Location,DTT-TRX-PRD/nsDev.sql
