script_directory,table_or_view,column,script,matching_term,notes
Livesql3,Dentist,UserID,ddir.sql,dentist,
DTT-TRX-PRD,ClientUsageSummary,ClientType,erpDev.sql,dso,ClientType = 'DSO'
Livesql3,tmpOrtho,Name of Doctor and Staff,reportst.sql,doctor,
Livesql3,Partner,PartnerID,Common.sql,partner,
Livesql3,tin,tin,reportst.sql,tin,
Livesql3,tinYTD,tin,reportst.sql,tin,
DTT-ANA-PRD,dci_claim_statuses,Billing_Provider_Tax_ID,dw_dxc_dev.sql,provider,
DTT-ANA-PRD,provider,npi,ext_raw_ec.sql,npi,
DTT-ANA-PRD,clearinghouse_claim_statuses,ProviderTIN,dw_dxc_pre.sql,tin,
DTT-ANA-PRD,eligibility_ai_transactions,provider_npi,dw_dxc.sql,npi,
DTT-ANA-PRD,eligibility_transactions,Provider_TIN,dw_dxc.sql,tin,
DTT-ANA-PRD,provider_rules_details_vw,provider_rendering_npi,dw_dxc.sql,npi,
DTT-ANA-PRD,VIP_Provider_Detail_Info,Provider_User_ID,dw_dxc.sql,provider,
DTT-ANA-PRD,RejectionMessage,Rendering_Provider_TIN,dw_dxc.sql,provider,
DTT-TRX-PRD,Transaction_copy,Partner,erpQA.sql,partner,
Livesql3,NetSuiteCustomers,Partner,reportst.sql,partner,
Livesql3,NetSuiteCustomers_Prod,Partner,reportst.sql,partner,
Livesql3,NetSuiteCustomers-diff,Partner,reportst.sql,partner,
DTT-TRX-PRD,SalesInvoiced_copy,Partner,erpQA.sql,partner,
Livesql3,rpt_MonthlyBilling_Incoming,Partner,reportst.sql,partner,
Livesql3,rpt_MonthlyBilling_IncomingPayerBreakdown,Partner,reportst.sql,partner,
Livesql3,rpt_MonthlyBilling_Outgoing,Partner,reportst.sql,partner,
Livesql3,rpt_MonthlyBilling_OutgoingPCSum,Partner,reportst.sql,partner,
Livesql3,rpt_MonthlyBilling_RTTransactions,Partner,reportst.sql,partner,
Livesql3,rpt_ValidationPassRate_Dest,Partner,reportst.sql,partner,
Livesql3,rpt_ValidationPassRate_Source,Partner,reportst.sql,partner,
DTT-ANA-PRD,dci_rtserviceaudit_6mos,NPI,dw_atm_dxc.sql,npi,
DTT-ANA-PRD,claim_payment_details_vw,NPI,dw_dxc_pre.sql,npi,
DTT-ANA-PRD,DCIClaimPaymentFLATClaimPaymentsLifeCycles,NPI,ent.sql,npi,
Livesql3,provider,NPI,chs.sql,npi,
Livesql3,ClaimStatusTracing_Facility,NPI,chs.sql,npi,
Livesql3,ClaimPayment,NPI,chs.sql,npi,
Livesql3,MetaClaimPayment,NPI,chs.sql,npi,
Livesql3,MetaEnrollment,NPI,chs.sql,npi,
Livesql3,PartnerWidgetDeliveryRegistration,NPI,chs.sql,npi,
Livesql3,Enrollment,NPI,Common.sql,npi,
Livesql3,ERARegistration,NPI,Common.sql,npi,
Livesql3,ERARegistrationAudit,NPI,Common.sql,npi,
Livesql3,MetProviderDir,NPI,Common.sql,npi,
Livesql3,NppesLookup,NPI,Common.sql,npi,
Livesql3,NppesLookup_old,NPI,Common.sql,npi,
Livesql3,NppesLookup_old1,NPI,Common.sql,npi,
Livesql3,PPEInserts,NPI,Common.sql,npi,
Livesql3,ProviderDir,NPI,Common.sql,npi,
Livesql3,ProviderDir_new,NPI,Common.sql,npi,
Livesql3,ProviderDirectory,NPI,Common.sql,npi,
Livesql3,ProviderDirectoryCompare,NPI,Common.sql,npi,
Livesql3,ProviderDirectoryHistory,NPI,Common.sql,npi,
Livesql3,ProviderDirectoryLocation,NPI,Common.sql,npi,
Livesql3,ProviderDirectoryLocationCompare,NPI,Common.sql,npi,
Livesql3,providerdirectoryold,NPI,Common.sql,npi,
Livesql3,ApplicationSetLocation,NPI,cred.sql,npi,
Livesql3,MedicarePreclusionLookup,NPI,cred.sql,npi,
Livesql3,ProviderApplicationStatusLocation,NPI,cred.sql,npi,
Livesql3,ProviderGroupDetail,NPI,cred.sql,npi,
Livesql3,ProviderSiteDetail,NPI,cred.sql,npi,
Livesql3,RTServiceAudit,NPI,chs.sql,npi,
Livesql3,ClaimPayment,NPI,chs.sql,npi,
Livesql3,Matching_HMWG,NPI,reportst.sql,npi,
Livesql3,ProviderMatching,NPI,reportst.sql,npi,
Livesql3,tempECEHG,NPI,reportst.sql,npi,
Livesql3,UCCI,NPI,reportst.sql,npi,
Livesql3,MetaBankPayment,Ein,chs.sql,ein,
Livesql3,NppesLookup,EIN,Common.sql,ein,
Livesql3,NppesLookup_old,EIN,Common.sql,ein,
Livesql3,NppesLookup_old1,EIN,Common.sql,ein,
Livesql3,MedicarePreclusionLookup,Ein,cred.sql,ein,
DTT-ANA-PRD,provider,tin,ext_raw_ec.sql,tin,
Livesql3,ClaimStatusTracing_Facility,tin,chs.sql,tin,
Livesql3,EHGGroupKeyToPID,tin,Common.sql,tin,
Livesql3,EHGGroupKeyToPID_DXE,tin,Common.sql,tin,
Livesql3,MetProviderDir,tin,Common.sql,tin,
Livesql3,PPEInserts,tin,Common.sql,tin,
Livesql3,ProviderDir,tin,Common.sql,tin,
Livesql3,ProviderDir_new,tin,Common.sql,tin,
Livesql3,ProviderDirAudit,tin,Common.sql,tin,
Livesql3,Results,tin,Common.sql,tin,
Livesql3,SalesLead,tin,Common.sql,tin,
